ID,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,ジャンル3,サブジャンル2,名称,設置場所,郵便番号,住所,電話番号,Fax番号,Ｅ-mail,会館時間,休館日,料金,備考,リンク
5510,36.525788,136.566971,,,,,,,千代女の里俳句館,事務室,,白山市殿町310,076-276-0819,,,,,,,
5511,36.523108,136.54379,,,,,,,千代野会館,事務室,,白山市千代野東五丁目1-2,076-276-8106,,,,,,,
5512,36.540616,136.534949,公共施設,,,,,,松任海浜公園管理事務所,受付窓口,,白山市相川町2557,076-274-0639,,,,,,,
5513,36.439519,136.641147,,,,,,,パーク獅子吼ふれあい館,事務室,,白山市八幡町リ110,076-273-8449,,,,,,,
5514,36.541647,136.535518,,,,,,,シーサイド松任,事務室,,白山市相川町2462,076-274-3190,,,,,,,
5515,36.156143,136.606178,,,,,,,白峰農業体験施設かもしか,１階事務室,,白山市白峰６号101,076-259-2588,,,,,,,
5516,36.514917,136.572952,公共施設,　,,,,,福祉ふれあいセンター,白山市社会福祉協議会事務所,,白山市倉光八丁目16-1,076-276-3151,,,,,,,
5517,36.493814,136.489177,文化施設,　,,,,,緑寿荘老人福祉センター,事務所,,白山市平加町ヌ132-1,076-278-6040,,,,,,,
5518,36.456355,136.620173,福祉施設,,,,,,蓬莱荘老人福祉センター,事務所,,白山市月橋町699-2,076-273-4083,,,,,,,
5519,36.514427,136.565833,,,,,,,市民交流センター,受付窓口,,白山市倉光二丁目1,076-274-9523,,,,,,,
5520,36.359832,136.599368,,,,,,,鳥越一向一揆歴史館,事務室,,白山市出合町甲26,076-254-8020,,,,,,,
5521,36.524381,136.563247,,,,,,,松任博物館,ホール,,白山市西新町168-1,076-275-8922,,,,,,,
5522,36.485539,136.483484,,,,,,,石川ルーツ交流館,玄関ホール,,白山市美川南町ヌ138-1,076-278-7111,,,,,,,
5523,36.478806,136.479059,,,,,,,呉竹文庫,玄関ホール,,白山市湊町ヨ146,076-278-6252,,,,,,,
5524,36.479692,136.472812,,,,,,,小舞子ビーチハウス,夏季のみ,,白山市湊町,,,,,,,,
5525,36.446562,136.628759,,,,,,,横町うらら館,,,白山市鶴来新町タ1,076-272-0001,,,,,,,
5526,36.439519,136.641147,,,,,,,獅子吼高原センター,ふれあい館,,白山市八幡町リ110,076-272-0600,,,,,,,
5527,36.363014,136.619109,,,,,,,吉野工芸の里,鶉荘,,白山市吉野春29-24,076-255-5360,,,,,,,
5528,36.288121,136.649387,,,,,,,道の駅瀬女,白山観光物産センター,,白山市瀬戸寅163-1,076-256-7172,,,,,,,
5529,36.283877,136.652117,,,,,,,瀬女コテージ村,ＳＡＭ白山事務室,,白山市瀬戸丑114-1,076-256-7137,,,,,,,
5530,36.486137,136.48908,,,,,,,美川コミュニティプラザ,１階駅管理事務所,,白山市美川中町ロ221-1,076-278-8147,,,,,,,
5531,36.203385,136.625967,,,,,,,白山恐竜パーク白峰,恐竜館受付,,白山市桑島4-99-1,076-259-2724,,,,,,,
5532,36.523498,136.575618,,,,,,,松任斎場,待合棟事務室,,白山市徳丸町8,076-276-1342,,,,,,,
5533,36.260939,136.763365,,,,,,,くろゆり荘,４月～１１月のみ,,白山市中宮ク5-32,076-256-7955,,,,,,,
5600,36.521212,136.561767,学校,高校,,,,,松任高校,体育館・職員室,,白山市馬場一丁目100,076-275-2242,,,,,,,
5601,36.513436,136.574555,学校,高校,,,,,翠星高校,正面玄関,,白山市三浦町500-1,076-275-1144,,,,,,,
5602,36.457324,136.619301,学校,高校,,,,,鶴来高校,１階事務室前,,白山市月橋町710,076-272-0044,,,,,,,
5603,36.508438,136.530728,学校,大学,,,,,金城大学,体育館、医療学部棟,,白山市笠間町1200,076-276-4400,,,,,,,
5604,36.487083,136.571572,学校,大学,,,,,金沢工業大学八束穂キャンパス,60・65・74号館,,白山市八束穂三丁目１,076-274-7733,,,,,,,
5605,36.511041,136.565778,病院,,,,,,公立松任石川中央病院,,,白山市倉光三丁目8,076-275-2222,,,,,,,
5606,36.447243,136.623732,病院,,,,,,公立つるぎ病院,,,白山市鶴来水戸町ノ１,076-272-1250,,,,,,,
5607,36.324162,136.646655,病院,,,,,,吉野谷診療所,,,白山市佐良ニ124,076-255-5019,,,,,,,
5608,36.176291,136.624322,病院,,,,,,白峰診療所,,,白山市白峰ハ157-1,076-259-8002,,,,,,,
5609,36.504892,136.58014,消防署,,,,,,松任消防署,,,白山市三浦町255-1,076-276-9481,,,,,,,
5610,36.525697,136.546796,消防署,,,,,,松任消防署千代野分署,,,白山市北安田町861-1,076-275-2119,,,,,,,
5611,36.493728,136.489741,消防署,,,,,,美川消防署,,,白山市平加町ヌ130-1,076-278-6119,,,,,,,
5612,36.459496,136.611716,消防署,,,,,,鶴来消防署,,,白山市明島山84-1,076-273-9119,,,,,,,
5613,36.362048,136.614976,消防署,,,,,,白山消防署,,,白山市吉野壬89,076-255-8119,,,,,,,
5614,36.177536,136.624858,消防署,,,,,,白山消防署白峰分署,,,白山市白峰ハ103-3,076-259-2119,,,,,,,
5615,36.512258,136.572991,消防署,,,,,,白山警察署,,,白山市倉光九丁目11-1,076-216-0110,,,,,,,
5616,36.519257,136.565011,その他,,,,,,松任税務署,,,白山市博労二丁目22,076-276-2345,,,,,,,
5617,36.526645,136.566141,駅,,,,,,JR松任駅,,,白山市相木町1020,076-275-0142,,,,,,,
5618,36.442438,136.632784,その他,,,,,,白山青年の家,,,白山市八幡町戌142,076-272-3695,,,,,,,
5619,36.444102,136.63222,,,,,,,ふれあい昆虫館,,,白山市八幡町戌3,076-272-3417,,,,,,,
5620,36.363567,136.614179,観光施設,,,,,,白山吉野オートキャンプ場,,,白山市吉野ト92-5,076-255-5353,,,,,,,
5621,36.292649,136.642696,その他,,,,,,白山ろく少年自然の家,,,白山市瀬戸ワ29,076-256-7114,,,,,,,
5622,36.148983,136.767804,観光施設,,,,,,白山室堂ビジターセンター,,,白山市白峰白山室堂平,0761-21-9933,,,,,,,
5623,36.114535,136.700567,観光施設,,,,,,市ノ瀬ビジターセンター,,,白山市白峰ノ35-1,076-259-2504,,,,,,,
5624,36.16584,136.634627,その他,,,,,,白山砂防科学館,,,白山市白峰ツ40-1,076-259-2990,,,,,,,
5625,36.461074,136.61279,民間事業者,特別養護老人ホーム,,,,,あじさいの郷,,,白山市明島町春130,076-273-0123,,,,,,,
5626,36.515833,136.57693,民間事業者,,,,,,アピタ松任店,,,白山市幸明町280,076-274-6611,,,,,,,
5627,36.507231,136.565172,民間事業者,,,,,,イオン松任店,,,白山市平松町102-1,076-274-8600,,,,,,,
5628,36.525692,136.565014,民間事業者,,,,,,フィットネスクラブ　エイムフェイス,,,白山市西新町203,076-274-7111,,,,,,,
5629,36.546614,136.562138,民間事業者,,,,,,カナカン（株）,,,白山市宮永町2842,076-274-8798,,,,,,,
5630,36.515885,136.574599,民間事業者,,,,,,金沢信用金庫　松任南支店,,,白山市徳丸町641-3,076-276-6111,,,,,,,
5631,36.498041,136.524135,民間事業者,,,,,,北日本紡績（株）松任工場,,,白山市福留町201-1,076-277-7530,,,,,,,
5632,36.44484,136.630017,民間事業者,,,,,,（株）北野組,,,白山市鶴来新町タ100-1,076-272-1255,,,,,,,
5633,36.485705,136.572346,民間事業者,,,,,,シグマ光機（株）技術センター,,,白山市八束穂1-1,076-274-6100,,,,,,,
5634,36.497261,136.52409,民間事業者,,,,,,敷島製パン（株）金沢営業所,,,白山市福留町201-7,076-277-0486,,,,,,,
5635,36.502538,136.522321,民間事業者,特別養護老人ホーム,,,,,松美苑,,,白山市笠間町1738,076-274-6776,,,,,,,
5636,36.434844,136.636164,民間事業者,,,,,,白山比め神社,,,白山市三宮町ニ105-1,076-272-0680,,,,,,,
5637,36.516999,136.575541,民間事業者,,,,,,スイミングアカデミー松任,,,白山市徳丸町560,076-276-7212,,,,,,,
5638,36.545906,136.559844,民間事業者,,,,,,ダイセーエブリー二十四（株）,,,白山市竹松町3105-227,076-276-6612,,,,,,,
5639,36.549982,136.543687,民間事業者,,,,,,（株）ダイセキ,,,白山市相川新町631-1,076-275-6585,,,,,,,
5640,36.486127,136.570788,民間事業者,,,,,,高松機械工業（株）開発センター,,,白山市八束穂3-3,076-274-1442,,,,,,,
5641,36.484819,136.573813,民間事業者,,,,,,（株）ディー・エヌ・ケー,,,白山市八束穂1-3,076-274-5400,,,,,,,
5642,36.473843,136.47254,民間事業者,,,,,,DIC（株）北陸工場,,,白山市湊町ソ64-2,076-278-2332,,,,,,,
5643,36.493837,136.523929,民間事業者,,,,,,東海物産（株）北陸工場,,,白山市福留町448-1,076-277-3331,,,,,,,
5644,36.533757,136.528126,民間事業者,,,,,,徳光PA上り線売店,,,白山市徳光町地内,076-275-6411,,,,,,,
5645,36.535136,136.527369,民間事業者,,,,,,徳光PA下り線売店,,,白山市徳光町地内,076-275-6412,,,,,,,
5646,36.487232,136.486599,民間事業者,,,,,,長尾医院,,,白山市美川永代町ソ248,076-278-2156,,,,,,,
5647,36.525753,136.55332,民間事業者,,,,,,ながしまクリニック,,,白山市北安田町972-1,076-275-1115,,,,,,,
5648,36.491977,136.610954,民間事業者,,,,,,中村留精密工業（株）,,,白山市熱野町ロ15,076-273-1111,,,,,,,
5649,36.499245,136.542747,民間事業者,,,,,,西日本宇佐美北陸支店８号松任,,,白山市小上町273,076-275-5177,,,,,,,
5650,36.526097,136.551923,民間事業者,,,,,,仏子園,,,白山市北安田町548,076-275-0616,,,,,,,
5651,36.502228,136.501706,民間事業者,,,,,,ホテルルートイン美川インター,,,白山市鹿島町二号1,076-278-7711,,,,,,,
5652,36.522315,136.580876,民間事業者,,,,,,HondaCars,石川西　白山店,,白山市乾町38-1,076-275-1088,,,,,,,
5653,36.198525,136.625598,民間事業者,,,,,,美杉の郷,（福）はくさん会,,白山市桑島４号87-5,076-259-2117,,,,,,,
5654,36.542867,136.547028,民間事業者,,,,,,ミナミ金属（株）リサイクルセンター北陸,,,白山市相川町2988,076-274-7300,,,,,,,
5655,36.50481,136.499057,民間事業者,,,,,,ミナミ金属（株）リサイクルセンター北陸,美川工場,,白山市鹿島町ぬ57,076-278-7771,,,,,,,
5656,36.447651,136.627762,民間事業者,,,,,,レッツ,,,白山市下東町カ26,076-273-5555,,,,,,,
5657,36.548011,136.56308,民間事業者,,,,,,若松梱包運輸倉庫（株）,,,白山市宮永町2848,076-274-7211,,,,,,,
5658,36.518085,136.519795,民間事業者,,,,,,わらべや東海（株）,,,白山市上小川町800-10,076-208-6311,,,,,,,
